episode_id,episode_label,sensor_origin,sensor_types,objects
11,episode-11,"[0.0, 0.0, 0.3]","[""ultrasound"", ""wifi"", ""uwb""]","[{""id"": 1, ""kind"": ""floor"", ""center"": [0.0, 0.0, 0.0], ""size"": [3.0, 3.0, 0.1], ""material"": ""wood""}, {""id"": 2, ""kind"": ""wall"", ""center"": [1.0, 0.0, 1.25], ""size"": [0.1, 3.0, 2.5], ""material"": ""wood""}, {""id"": 3, ""kind"": ""table"", ""center"": [0.0, 0.0, 0.4], ""size"": [1.2, 0.6, 0.05], ""material"": ""wood""}, {""id"": 4, ""kind"": ""human"", ""center"": [0.0, 0.0, 0.8], ""size"": [0.6, 0.4, 0.7], ""material"": ""human""}, {""id"": 5, ""kind"": ""cup"", ""center"": [0.0, 0.0, 0.75], ""size"": [0.08, 0.08, 0.1], ""material"": ""ceramic""}, {""id"": 6, ""kind"": ""glass_wall"", ""center"": [-1.45, 0.0, 1.25], ""size"": [0.05, 3.0, 2.0], ""material"": ""glass""}]"
12,episode-12,"[0.0, 0.0, 0.3]","[""ultrasound"", ""wifi"", ""uwb""]","[{""id"": 1, ""kind"": ""floor"", ""center"": [0.0, 0.0, 0.0], ""size"": [3.0, 3.0, 0.1], ""material"": ""wood""}, {""id"": 2, ""kind"": ""wall"", ""center"": [1.0, 0.0, 1.25], ""size"": [0.1, 3.0, 2.5], ""material"": ""wood""}, {""id"": 3, ""kind"": ""table"", ""center"": [0.0, 0.0, 0.4], ""size"": [1.2, 0.6, 0.05], ""material"": ""wood""}, {""id"": 4, ""kind"": ""human"", ""center"": [0.0, 0.0, 0.8], ""size"": [0.6, 0.4, 0.7], ""material"": ""human""}, {""id"": 5, ""kind"": ""cup"", ""center"": [0.0, 0.0, 0.75], ""size"": [0.08, 0.08, 0.1], ""material"": ""ceramic""}, {""id"": 6, ""kind"": ""glass_wall"", ""center"": [-1.45, 0.0, 1.25], ""size"": [0.05, 3.0, 2.0], ""material"": ""glass""}]"
13,episode-13,"[0.0, 0.0, 0.3]","[""ultrasound"", ""wifi"", ""uwb""]","[{""id"": 1, ""kind"": ""floor"", ""center"": [0.0, 0.0, 0.0], ""size"": [3.0, 3.0, 0.1], ""material"": ""wood""}, {""id"": 2, ""kind"": ""wall"", ""center"": [1.0, 0.0, 1.25], ""size"": [0.1, 3.0, 2.5], ""material"": ""wood""}, {""id"": 3, ""kind"": ""table"", ""center"": [0.0, 0.0, 0.4], ""size"": [1.2, 0.6, 0.05], ""material"": ""wood""}, {""id"": 4, ""kind"": ""human"", ""center"": [0.0, 0.0, 0.8], ""size"": [0.6, 0.4, 0.7], ""material"": ""human""}, {""id"": 5, ""kind"": ""cup"", ""center"": [0.0, 0.0, 0.75], ""size"": [0.08, 0.08, 0.1], ""material"": ""ceramic""}, {""id"": 6, ""kind"": ""glass_wall"", ""center"": [-1.45, 0.0, 1.25], ""size"": [0.05, 3.0, 2.0], ""material"": ""glass""}]"
14,episode-14,"[0.0, 0.0, 0.3]","[""ultrasound"", ""wifi"", ""uwb""]","[{""id"": 1, ""kind"": ""floor"", ""center"": [0.0, 0.0, 0.0], ""size"": [3.0, 3.0, 0.1], ""material"": ""wood""}, {""id"": 2, ""kind"": ""wall"", ""center"": [1.0, 0.0, 1.25], ""size"": [0.1, 3.0, 2.5], ""material"": ""wood""}, {""id"": 3, ""kind"": ""table"", ""center"": [0.0, 0.0, 0.4], ""size"": [1.2, 0.6, 0.05], ""material"": ""wood""}, {""id"": 4, ""kind"": ""human"", ""center"": [0.0, 0.0, 0.8], ""size"": [0.6, 0.4, 0.7], ""material"": ""human""}, {""id"": 5, ""kind"": ""cup"", ""center"": [0.0, 0.0, 0.75], ""size"": [0.08, 0.08, 0.1], ""material"": ""ceramic""}, {""id"": 6, ""kind"": ""glass_wall"", ""center"": [-1.45, 0.0, 1.25], ""size"": [0.05, 3.0, 2.0], ""material"": ""glass""}]"
15,episode-15,"[0.0, 0.0, 0.3]","[""ultrasound"", ""wifi"", ""uwb""]","[{""id"": 1, ""kind"": ""floor"", ""center"": [0.0, 0.0, 0.0], ""size"": [3.0, 3.0, 0.1], ""material"": ""wood""}, {""id"": 2, ""kind"": ""wall"", ""center"": [1.0, 0.0, 1.25], ""size"": [0.1, 3.0, 2.5], ""material"": ""wood""}, {""id"": 3, ""kind"": ""table"", ""center"": [0.0, 0.0, 0.4], ""size"": [1.2, 0.6, 0.05], ""material"": ""wood""}, {""id"": 4, ""kind"": ""human"", ""center"": [0.0, 0.0, 0.8], ""size"": [0.6, 0.4, 0.7], ""material"": ""human""}, {""id"": 5, ""kind"": ""cup"", ""center"": [0.0, 0.0, 0.75], ""size"": [0.08, 0.08, 0.1], ""material"": ""ceramic""}, {""id"": 6, ""kind"": ""glass_wall"", ""center"": [-1.45, 0.0, 1.25], ""size"": [0.05, 3.0, 2.0], ""material"": ""glass""}]"
16,episode-16,"[0.0, 0.0, 0.3]","[""ultrasound"", ""wifi"", ""uwb""]","[{""id"": 1, ""kind"": ""floor"", ""center"": [0.0, 0.0, 0.0], ""size"": [3.0, 3.0, 0.1], ""material"": ""wood""}, {""id"": 2, ""kind"": ""wall"", ""center"": [1.0, 0.0, 1.25], ""size"": [0.1, 3.0, 2.5], ""material"": ""wood""}, {""id"": 3, ""kind"": ""table"", ""center"": [0.0, 0.0, 0.4], ""size"": [1.2, 0.6, 0.05], ""material"": ""wood""}, {""id"": 4, ""kind"": ""human"", ""center"": [0.0, 0.0, 0.8], ""size"": [0.6, 0.4, 0.7], ""material"": ""human""}, {""id"": 5, ""kind"": ""cup"", ""center"": [0.0, 0.0, 0.75], ""size"": [0.08, 0.08, 0.1], ""material"": ""ceramic""}, {""id"": 6, ""kind"": ""glass_wall"", ""center"": [-1.45, 0.0, 1.25], ""size"": [0.05, 3.0, 2.0], ""material"": ""glass""}]"
17,episode-17,"[0.0, 0.0, 0.3]","[""ultrasound"", ""wifi"", ""uwb""]","[{""id"": 1, ""kind"": ""floor"", ""center"": [0.0, 0.0, 0.0], ""size"": [3.0, 3.0, 0.1], ""material"": ""wood""}, {""id"": 2, ""kind"": ""wall"", ""center"": [1.0, 0.0, 1.25], ""size"": [0.1, 3.0, 2.5], ""material"": ""wood""}, {""id"": 3, ""kind"": ""table"", ""center"": [0.0, 0.0, 0.4], ""size"": [1.2, 0.6, 0.05], ""material"": ""wood""}, {""id"": 4, ""kind"": ""human"", ""center"": [0.0, 0.0, 0.8], ""size"": [0.6, 0.4, 0.7], ""material"": ""human""}, {""id"": 5, ""kind"": ""cup"", ""center"": [0.0, 0.0, 0.75], ""size"": [0.08, 0.08, 0.1], ""material"": ""ceramic""}, {""id"": 6, ""kind"": ""glass_wall"", ""center"": [-1.45, 0.0, 1.25], ""size"": [0.05, 3.0, 2.0], ""material"": ""glass""}]"
18,episode-18,"[0.0, 0.0, 0.3]","[""ultrasound"", ""wifi"", ""uwb""]","[{""id"": 1, ""kind"": ""floor"", ""center"": [0.0, 0.0, 0.0], ""size"": [3.0, 3.0, 0.1], ""material"": ""wood""}, {""id"": 2, ""kind"": ""wall"", ""center"": [1.0, 0.0, 1.25], ""size"": [0.1, 3.0, 2.5], ""material"": ""wood""}, {""id"": 3, ""kind"": ""table"", ""center"": [0.0, 0.0, 0.4], ""size"": [1.2, 0.6, 0.05], ""material"": ""wood""}, {""id"": 4, ""kind"": ""human"", ""center"": [0.0, 0.0, 0.8], ""size"": [0.6, 0.4, 0.7], ""material"": ""human""}, {""id"": 5, ""kind"": ""cup"", ""center"": [0.0, 0.0, 0.75], ""size"": [0.08, 0.08, 0.1], ""material"": ""ceramic""}, {""id"": 6, ""kind"": ""glass_wall"", ""center"": [-1.45, 0.0, 1.25], ""size"": [0.05, 3.0, 2.0], ""material"": ""glass""}]"
19,episode-19,"[0.0, 0.0, 0.3]","[""ultrasound"", ""wifi"", ""uwb""]","[{""id"": 1, ""kind"": ""floor"", ""center"": [0.0, 0.0, 0.0], ""size"": [3.0, 3.0, 0.1], ""material"": ""wood""}, {""id"": 2, ""kind"": ""wall"", ""center"": [1.0, 0.0, 1.25], ""size"": [0.1, 3.0, 2.5], ""material"": ""wood""}, {""id"": 3, ""kind"": ""table"", ""center"": [0.0, 0.0, 0.4], ""size"": [1.2, 0.6, 0.05], ""material"": ""wood""}, {""id"": 4, ""kind"": ""human"", ""center"": [0.0, 0.0, 0.8], ""size"": [0.6, 0.4, 0.7], ""material"": ""human""}, {""id"": 5, ""kind"": ""cup"", ""center"": [0.0, 0.0, 0.75], ""size"": [0.08, 0.08, 0.1], ""material"": ""ceramic""}, {""id"": 6, ""kind"": ""glass_wall"", ""center"": [-1.45, 0.0, 1.25], ""size"": [0.05, 3.0, 2.0], ""material"": ""glass""}]"
20,episode-20,"[0.0, 0.0, 0.3]","[""ultrasound"", ""wifi"", ""uwb""]","[{""id"": 1, ""kind"": ""floor"", ""center"": [0.0, 0.0, 0.0], ""size"": [3.0, 3.0, 0.1], ""material"": ""wood""}, {""id"": 2, ""kind"": ""wall"", ""center"": [1.0, 0.0, 1.25], ""size"": [0.1, 3.0, 2.5], ""material"": ""wood""}, {""id"": 3, ""kind"": ""table"", ""center"": [0.0, 0.0, 0.4], ""size"": [1.2, 0.6, 0.05], ""material"": ""wood""}, {""id"": 4, ""kind"": ""human"", ""center"": [0.0, 0.0, 0.8], ""size"": [0.6, 0.4, 0.7], ""material"": ""human""}, {""id"": 5, ""kind"": ""cup"", ""center"": [0.0, 0.0, 0.75], ""size"": [0.08, 0.08, 0.1], ""material"": ""ceramic""}, {""id"": 6, ""kind"": ""glass_wall"", ""center"": [-1.45, 0.0, 1.25], ""size"": [0.05, 3.0, 2.0], ""material"": ""glass""}]"
21,episode-21,"[0.0, 0.0, 0.3]","[""ultrasound"", ""wifi"", ""uwb""]","[{""id"": 1, ""kind"": ""floor"", ""center"": [0.0, 0.0, 0.0], ""size"": [3.0, 3.0, 0.1], ""material"": ""wood""}, {""id"": 2, ""kind"": ""wall"", ""center"": [1.0, 0.0, 1.25], ""size"": [0.1, 3.0, 2.5], ""material"": ""wood""}, {""id"": 3, ""kind"": ""table"", ""center"": [0.0, 0.0, 0.4], ""size"": [1.2, 0.6, 0.05], ""material"": ""wood""}, {""id"": 4, ""kind"": ""human"", ""center"": [0.0, 0.0, 0.8], ""size"": [0.6, 0.4, 0.7], ""material"": ""human""}, {""id"": 5, ""kind"": ""cup"", ""center"": [0.0, 0.0, 0.75], ""size"": [0.08, 0.08, 0.1], ""material"": ""ceramic""}, {""id"": 6, ""kind"": ""glass_wall"", ""center"": [-1.45, 0.0, 1.25], ""size"": [0.05, 3.0, 2.0], ""material"": ""glass""}]"
22,episode-22,"[0.0, 0.0, 0.3]","[""ultrasound"", ""wifi"", ""uwb""]","[{""id"": 1, ""kind"": ""floor"", ""center"": [0.0, 0.0, 0.0], ""size"": [3.0, 3.0, 0.1], ""material"": ""wood""}, {""id"": 2, ""kind"": ""wall"", ""center"": [1.0, 0.0, 1.25], ""size"": [0.1, 3.0, 2.5], ""material"": ""wood""}, {""id"": 3, ""kind"": ""table"", ""center"": [0.0, 0.0, 0.4], ""size"": [1.2, 0.6, 0.05], ""material"": ""wood""}, {""id"": 4, ""kind"": ""human"", ""center"": [0.0, 0.0, 0.8], ""size"": [0.6, 0.4, 0.7], ""material"": ""human""}, {""id"": 5, ""kind"": ""cup"", ""center"": [0.0, 0.0, 0.75], ""size"": [0.08, 0.08, 0.1], ""material"": ""ceramic""}, {""id"": 6, ""kind"": ""glass_wall"", ""center"": [-1.45, 0.0, 1.25], ""size"": [0.05, 3.0, 2.0], ""material"": ""glass""}]"
23,episode-23,"[0.0, 0.0, 0.3]","[""ultrasound"", ""wifi"", ""uwb""]","[{""id"": 1, ""kind"": ""floor"", ""center"": [0.0, 0.0, 0.0], ""size"": [3.0, 3.0, 0.1], ""material"": ""wood""}, {""id"": 2, ""kind"": ""wall"", ""center"": [1.0, 0.0, 1.25], ""size"": [0.1, 3.0, 2.5], ""material"": ""wood""}, {""id"": 3, ""kind"": ""table"", ""center"": [0.0, 0.0, 0.4], ""size"": [1.2, 0.6, 0.05], ""material"": ""wood""}, {""id"": 4, ""kind"": ""human"", ""center"": [0.0, 0.0, 0.8], ""size"": [0.6, 0.4, 0.7], ""material"": ""human""}, {""id"": 5, ""kind"": ""cup"", ""center"": [0.0, 0.0, 0.75], ""size"": [0.08, 0.08, 0.1], ""material"": ""ceramic""}, {""id"": 6, ""kind"": ""glass_wall"", ""center"": [-1.45, 0.0, 1.25], ""size"": [0.05, 3.0, 2.0], ""material"": ""glass""}]"
24,episode-24,"[0.0, 0.0, 0.3]","[""ultrasound"", ""wifi"", ""uwb""]","[{""id"": 1, ""kind"": ""floor"", ""center"": [0.0, 0.0, 0.0], ""size"": [3.0, 3.0, 0.1], ""material"": ""wood""}, {""id"": 2, ""kind"": ""wall"", ""center"": [1.0, 0.0, 1.25], ""size"": [0.1, 3.0, 2.5], ""material"": ""wood""}, {""id"": 3, ""kind"": ""table"", ""center"": [0.0, 0.0, 0.4], ""size"": [1.2, 0.6, 0.05], ""material"": ""wood""}, {""id"": 4, ""kind"": ""human"", ""center"": [0.0, 0.0, 0.8], ""size"": [0.6, 0.4, 0.7], ""material"": ""human""}, {""id"": 5, ""kind"": ""cup"", ""center"": [0.0, 0.0, 0.75], ""size"": [0.08, 0.08, 0.1], ""material"": ""ceramic""}, {""id"": 6, ""kind"": ""glass_wall"", ""center"": [-1.45, 0.0, 1.25], ""size"": [0.05, 3.0, 2.0], ""material"": ""glass""}]"
25,episode-25,"[0.0, 0.0, 0.3]","[""ultrasound"", ""wifi"", ""uwb""]","[{""id"": 1, ""kind"": ""floor"", ""center"": [0.0, 0.0, 0.0], ""size"": [3.0, 3.0, 0.1], ""material"": ""wood""}, {""id"": 2, ""kind"": ""wall"", ""center"": [1.0, 0.0, 1.25], ""size"": [0.1, 3.0, 2.5], ""material"": ""wood""}, {""id"": 3, ""kind"": ""table"", ""center"": [0.0, 0.0, 0.4], ""size"": [1.2, 0.6, 0.05], ""material"": ""wood""}, {""id"": 4, ""kind"": ""human"", ""center"": [0.0, 0.0, 0.8], ""size"": [0.6, 0.4, 0.7], ""material"": ""human""}, {""id"": 5, ""kind"": ""cup"", ""center"": [0.0, 0.0, 0.75], ""size"": [0.08, 0.08, 0.1], ""material"": ""ceramic""}, {""id"": 6, ""kind"": ""glass_wall"", ""center"": [-1.45, 0.0, 1.25], ""size"": [0.05, 3.0, 2.0], ""material"": ""glass""}]"
26,episode-26,"[0.0, 0.0, 0.3]","[""ultrasound"", ""wifi"", ""uwb""]","[{""id"": 1, ""kind"": ""floor"", ""center"": [0.0, 0.0, 0.0], ""size"": [3.0, 3.0, 0.1], ""material"": ""wood""}, {""id"": 2, ""kind"": ""wall"", ""center"": [1.0, 0.0, 1.25], ""size"": [0.1, 3.0, 2.5], ""material"": ""wood""}, {""id"": 3, ""kind"": ""table"", ""center"": [0.0, 0.0, 0.4], ""size"": [1.2, 0.6, 0.05], ""material"": ""wood""}, {""id"": 4, ""kind"": ""human"", ""center"": [0.0, 0.0, 0.8], ""size"": [0.6, 0.4, 0.7], ""material"": ""human""}, {""id"": 5, ""kind"": ""cup"", ""center"": [0.0, 0.0, 0.75], ""size"": [0.08, 0.08, 0.1], ""material"": ""ceramic""}, {""id"": 6, ""kind"": ""glass_wall"", ""center"": [-1.45, 0.0, 1.25], ""size"": [0.05, 3.0, 2.0], ""material"": ""glass""}]"
27,episode-27,"[0.0, 0.0, 0.3]","[""ultrasound"", ""wifi"", ""uwb""]","[{""id"": 1, ""kind"": ""floor"", ""center"": [0.0, 0.0, 0.0], ""size"": [3.0, 3.0, 0.1], ""material"": ""wood""}, {""id"": 2, ""kind"": ""wall"", ""center"": [1.0, 0.0, 1.25], ""size"": [0.1, 3.0, 2.5], ""material"": ""wood""}, {""id"": 3, ""kind"": ""table"", ""center"": [0.0, 0.0, 0.4], ""size"": [1.2, 0.6, 0.05], ""material"": ""wood""}, {""id"": 4, ""kind"": ""human"", ""center"": [0.0, 0.0, 0.8], ""size"": [0.6, 0.4, 0.7], ""material"": ""human""}, {""id"": 5, ""kind"": ""cup"", ""center"": [0.0, 0.0, 0.75], ""size"": [0.08, 0.08, 0.1], ""material"": ""ceramic""}, {""id"": 6, ""kind"": ""glass_wall"", ""center"": [-1.45, 0.0, 1.25], ""size"": [0.05, 3.0, 2.0], ""material"": ""glass""}]"
28,episode-28,"[0.0, 0.0, 0.3]","[""ultrasound"", ""wifi"", ""uwb""]","[{""id"": 1, ""kind"": ""floor"", ""center"": [0.0, 0.0, 0.0], ""size"": [3.0, 3.0, 0.1], ""material"": ""wood""}, {""id"": 2, ""kind"": ""wall"", ""center"": [1.0, 0.0, 1.25], ""size"": [0.1, 3.0, 2.5], ""material"": ""wood""}, {""id"": 3, ""kind"": ""table"", ""center"": [0.0, 0.0, 0.4], ""size"": [1.2, 0.6, 0.05], ""material"": ""wood""}, {""id"": 4, ""kind"": ""human"", ""center"": [0.0, 0.0, 0.8], ""size"": [0.6, 0.4, 0.7], ""material"": ""human""}, {""id"": 5, ""kind"": ""cup"", ""center"": [0.0, 0.0, 0.75], ""size"": [0.08, 0.08, 0.1], ""material"": ""ceramic""}, {""id"": 6, ""kind"": ""glass_wall"", ""center"": [-1.45, 0.0, 1.25], ""size"": [0.05, 3.0, 2.0], ""material"": ""glass""}]"
